Title,Authors,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations
Removal of organic pollutants from oak leachate in pilot scale wetland systems: How efficient are aeration and vegetation treatments?,"Svensson, Henric; Ekstam, Borje; Marques, Marcia; Hogland, William",WATER RESEARCH,2015,84,,120,126,10.1016/j.watres.2015.07.017,6
Effects of forest roads on the hydrological response of a small-scale mountain watershed in Greece,"Soulis, K. X.; Dercas, N.; Papadaki, C. H.",HYDROLOGICAL PROCESSES,2015,29,7,1772,1782,10.1002/hyp.10301,6
Prevalence of Enterococcus Species and Their Virulence Genes in Fresh Water Prior to and after Storm Events,"Sidhu, J. P. S.; Skelly, E.; Hodgers, L.; Ahmed, W.; Li, Y.; Toze, S.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2014,48,5,2979,2988,10.1021/es4050083,6
Using biofilm as a novel approach to assess stormwater treatment efficacy,"Ancion, Pierre-Yves; Lear, Gavin; Neale, Martin; Roberts, Kelly; Lewis, Gillian D.",WATER RESEARCH,2014,49,,406,415,10.1016/j.watres.2013.10.023,6
The impact of stormwater treatment areas and agricultural best management practices on water quality in the Everglades Protection Area,"Entry, James A.; Gottlieb, Andrew",ENVIRONMENTAL MONITORING AND ASSESSMENT,2014,186,2,1023,1037,10.1007/s10661-013-3436-4,6
Classifying the Health of Connecticut Streams Using Benthic Macroinvertebrates with Implications for Water Management,"Bellucci, Christopher J.; Becker, Mary E.; Beauchene, Mike; Dunbar, Lee",ENVIRONMENTAL MANAGEMENT,2013,51,6,1274,1283,10.1007/s00267-013-0033-9,6
"Response of rock-fissure seepage to snowmelt in Mount Taihang slope-catchment, North China","Cao, Jiansheng; Liu, Changming; Zhang, Wanjun",WATER SCIENCE AND TECHNOLOGY,2013,67,1,124,130,10.2166/wst.2012.542,6
Hydro-ecological impact of water conservancy projects in the Haihe River Basin,"Lu, Shanlong; Wu, Bingfang; Wang, Hao; Ouyang, Ninglei; Guo, Shuying",ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2012,44,,67,74,10.1016/j.actao.2011.07.003,6
"Restoration and rational use of degraded saline reed wetlands: A case study in western Songnen Plain, China",Wen Bolong; Liu Xingtu; Li Xiujun; Yang Fuyi; Li Xiaoyu,CHINESE GEOGRAPHICAL SCIENCE,2012,22,2,167,177,10.1007/s11769-012-0519-z,6
"Mesozoic hydrogeologic systems and hydrocarbon habitat, Mandapeta-Endamuru area, Krishna Godavari Basin, India","Murthy, M. V. K.; Padhy, P. K.; Prasad, D. N.",AAPG BULLETIN,2011,95,1,147,167,10.1306/06301009134,6
"Gradual encroachment of a rocky shoreline by an invasive sea during the Mississippian at the southeastern margin of the Maritimes Basin, Nova Scotia, Canada","Jutras, Pierre; Ryan, Robert J.; Fitzgerald, Roger",CANADIAN JOURNAL OF EARTH SCIENCES,2006,43,8,1183,1204,10.1139/E06-094,6
"Effects of different soil media, vegetation, and hydrologic treatments on nutrient and sediment removal in roadside bioretention systems","Shrestha, Paliza; Hurley, Stephanie E.; Wemple, Beverley C.",ECOLOGICAL ENGINEERING,2018,112,,116,131,10.1016/j.ecoleng.2017.12.004,5
Nitrogen removal from sewage and septage in constructed wetland mesocosms using sand media amended with biochar,"de Rozari, P.; Greenway, M.; El Hanandeh, A.",ECOLOGICAL ENGINEERING,2018,111,,1,10,10.1016/j.ecoleng.2017.11.002,5
Roads to ruin: conservation threats to a sentinel species across an urban gradient,"Feist, Blake E.; Buhle, Eric R.; Baldwin, David H.; Spromberg, Julann A.; Damm, Steven E.; Davis, Jay W.; Scholz, Nathaniel L.",ECOLOGICAL APPLICATIONS,2017,27,8,2382,2396,10.1002/eap.1615,5
Bacteriome genetic structures of urban deposits are indicative of their origin and impacted by chemical pollutants,"Marti, Romain; Becouze-Lareure, Celine; Ribun, Sebastien; Marjolet, Laurence; Souibgui, Claire Bernardin; Aubin, Jean-Baptiste; Kouyi, Gislain Lipeme; Wiest, Laure; Blaha, Didier; Cournoyer, Benoit",SCIENTIFIC REPORTS,2017,7,,,,10.1038/s41598-017-13594-8,5
Arbuscular mycorrhizal fungi in Australian stormwater biofilters,"Winfrey, Brandon K.; Hatt, Belinda E.; Ambrose, Richard F.",ECOLOGICAL ENGINEERING,2017,102,,483,489,10.1016/j.ecoleng.2017.02.041,5
Nutrient Sequestration by Vegetation in Bioretention Cells Receiving High Nutrient Loads,"Turk, R. P.; Kraus, H. T.; Hunt, W. F.; Carmen, N. B.; Bilderback, T. E.",JOURNAL OF ENVIRONMENTAL ENGINEERING,2017,143,2,,,10.1061/(ASCE)EE.1943-7870.0001158,5
"Influences of seasons, N/P ratios and chemical compounds on phosphorus removal performance in algal pond combined with constructed wetlands",Zhao Zhimiao; Song Xinshan; Xiao Yanping; Zhao Yufeng; Gong Zhijie; Lin Fanda; Ding Yi; Wang Wei; Qin Tianling,SCIENCE OF THE TOTAL ENVIRONMENT,2016,573,,906,914,10.1016/j.scitotenv.2016.08.148,5
Valuing Ecosystem Services and Disservices across Heterogeneous Green Spaces,"Klimas, Christie; Williams, Allison; Hoff, Megan; Lawrence, Beth; Thompson, Jennifer; Montgomery, James",SUSTAINABILITY,2016,8,9,,,10.3390/su8090853,5
Severe Coal Tar Sealcoat Runoff Toxicity to Fish Is Prevented by Bioretention Filtration,"McIntyre, Jenifer K.; Edmunds, Richard C.; Anulacion, Bernadita F.; Davis, Jay W.; Incardona, John P.; Stark, John D.; Scholz, Nathaniel L.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2016,50,3,1570,1578,10.1021/acs.est.5b04928,5
Sectional analysis of stormwater treatment performance of a constructed wetland,"Mangangka, Isri R.; Liu, An; Egodawatta, Prasanna; Goonetilleke, Ashantha",ECOLOGICAL ENGINEERING,2015,77,,172,179,10.1016/j.ecoleng.2015.01.028,5
Nutrient accumulation in five plant species grown in bioretention systems dosed with wastewater,"Gautam, D. N.; Greenway, M.",AUSTRALASIAN JOURNAL OF ENVIRONMENTAL MANAGEMENT,2014,21,4,453,462,10.1080/14486563.2014.944589,5
A Holistic System Approach to Understanding Underground Water Dynamics in the Loess Tableland: A Case Study of the Dongzhi Loess Tableland in Northwest China,"Li, Changbin; Qi, Jiaguo; Wang, Shuaibing; Yang, Linshan; Yang, Wenjin; Zou, Songbing; Zhu, Gaofeng; Li, Wenyan",WATER RESOURCES MANAGEMENT,2014,28,10,2937,2951,10.1007/s11269-014-0647-6,5
Influence of spontaneous vegetation in stormwater infiltration system clogging,"Gonzalez-Merchan, Carolina; Barraud, Sylvie; Bedell, Jean-Philippe",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2014,21,8,5419,5426,10.1007/s11356-013-2398-y,5
Hydrological modelling of the Ibera Wetlands in southeastern South America,"Grimson, Rafael; Montroull, Natalia; Saurral, Ramiro; Vasquez, Pablo; Camilloni, Ines",JOURNAL OF HYDROLOGY,2013,503,,47,54,10.1016/j.jhydrol.2013.08.042,5
Performance analysis of the Richland-Chambers treatment wetlands,"Kadlec, Robert H.; Bays, James S.; Mokry, Loretta E.; Andrews, Darrel; Ernst, Mark R.",ECOLOGICAL ENGINEERING,2011,37,2,176,190,10.1016/j.ecoleng.2010.09.003,5
"Surface wetlands for the treatment of pathogens in stormwater: three case studies at Lake Macquarie, NSW, Australia","Mendez, H.; Geary, P. M.; Dunstan, R. H.",WATER SCIENCE AND TECHNOLOGY,2009,60,5,1257,1263,10.2166/wst.2009.470,5
Long-term equilibrium phosphorus concentrations in the everglades as predicted by a Vollenweider-type model,"Moustafa, MZ",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,1998,34,1,135,147,10.1111/j.1752-1688.1998.tb05966.x,5
Which species? A decision-support tool to guide plant selection in stormwater biofilters,"Payne, Emily G. I.; Pham, Tracey; Deletic, Ana; Hatt, Belinda E.; Cook, Perran L. M.; Fletcher, Tim D.",ADVANCES IN WATER RESOURCES,2018,113,,86,99,10.1016/j.advwatres.2017.12.022,4
Nutrient Leaching and Greenhouse Gas Emissions in Grassed Detention and Bioretention Stormwater Basins,"McPhillips, Lauren; Goodale, Christine; Walter, M. Todd",JOURNAL OF SUSTAINABLE WATER IN THE BUILT ENVIRONMENT,2018,4,1,,,10.1061/JSWBAY.0000837,4
"Connections among soil, ground, and surface water chemistries characterize nitrogen loss from an agricultural landscape in the upper Missouri River Basin","Sigler, W. Adam; Ewing, Stephanie A.; Jones, Clain A.; Payn, Robert A.; Brookshire, E. N. Jack; Klassen, Jane K.; Jackson-Smith, Douglas; Weissmann, Gary S.",JOURNAL OF HYDROLOGY,2018,556,,247,261,10.1016/j.jhydrol.2017.10.018,4
Effects of habitat and landscape quality on amphibian assemblages of urban stormwater ponds,"Holtmann, Lisa; Philipp, Katharina; Becke, Corinna; Fartmann, Thomas",URBAN ECOSYSTEMS,2017,20,6,1249,1259,10.1007/s11252-017-0677-y,4
Removal of nutrients from urban stormwater runoff by storm-pulsed and seasonally pulsed created wetlands in the subtropics,"Griffiths, Lauren N.; Mitsch, William J.",ECOLOGICAL ENGINEERING,2017,108,,414,424,10.1016/j.ecoleng.2017.06.053,4
Assessment of metal and PAH profiles in SUDS soil based on an improved experimental procedure,"Tedoldi, Damien; Chebbo, Ghassan; Pierlot, Daniel; Kovacs, Yves; Gromaire, Marie-Christine",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2017,202,,151,166,10.1016/j.jenvman.2017.06.063,4
Influence of infrastructure on water quality and greenhouse gas dynamics in urban streams,"Smith, Rose M.; Kaushal, Sujay S.; Beaulieu, Jake J.; Pennino, Michael J.; Welty, Claire",BIOGEOSCIENCES,2017,14,11,2831,2849,10.5194/bg-14-2831-2017,4
Evaluation of factors affecting soil carbon sequestration services of stormwater wet retention ponds in varying climate zones,"Merriman, L. S.; Moore, T. L. C.; Wang, J. W.; Osmond, D. L.; Al-Rubaei, A. M.; Smolek, A. P.; Blecken, G. T.; Viklander, M.; Hunt, W. F.",SCIENCE OF THE TOTAL ENVIRONMENT,2017,583,,133,141,10.1016/j.scitotenv2017.01.040,4
Development/ripening of ecosystems services in the first two growing seasons of a regional-scale constructed stormwater wetland on the coast of North Carolina,"Merriman, L. S.; Hunt, W. F.; Bass, K. L.",ECOLOGICAL ENGINEERING,2016,94,,393,405,10.1016/j.ecoleng.2016.05.065,4
Impacts of agricultural water saving practice on regional groundwater and water consumption in an arid region with shallow groundwater,"Chen, Hang; Liu, Zhongyi; Huo, Zailin; Qu, Zhongyi; Xia, Yuhong; Fernald, Alexander",ENVIRONMENTAL EARTH SCIENCES,2016,75,16,,,10.1007/s12665-016-6006-6,4
Assessment of a hydrologic model's reliability in simulating flow regime alterations in a changing climate,"Shrestha, Rajesh R.; Schnorbus, Markus A.; Peters, Daniel L.",HYDROLOGICAL PROCESSES,2016,30,15,2628,2643,10.1002/hyp.10812,4
Ecological assessment of a transitioned stormwater infiltration basin,"Natarajan, Poornima; Davis, Allen P.",ECOLOGICAL ENGINEERING,2016,90,,261,267,10.1016/j.ecoleng.2016.01.029,4
Modeling phosphorus retention at low concentrations in Florida Everglades mesocosms,"Marois, Darryl E.; Mitsch, William J.",ECOLOGICAL MODELLING,2016,319,,42,62,10.1016/j.ecolmodel.2015.09.024,4
"Re-vegetation with native species does not control the invasive Ruellia simplex in a floodplain forest in Florida, USA","Smith, Adrienne M.; Adams, Carrie Reinhardt; Wiese, Christine; Wilson, Sandra B.",APPLIED VEGETATION SCIENCE,2016,19,1,20,30,10.1111/avsc.12188,4
"Protecting the Green Behind the Gold: Catchment-Wide Restoration Efforts Necessary to Achieve Nutrient and Sediment Load Reduction Targets in Gold Coast City, Australia","Waltham, Nathan J.; Barry, Michael; McAlister, Tony; Weber, Tony; Groth, Dominic",ENVIRONMENTAL MANAGEMENT,2014,54,4,840,851,10.1007/s00267-014-0330-y,4
"COMMUNITY PATTERNS IN TREATMENT WETLANDS, NATURAL WETLANDS, AND CROPLANDS IN FLORIDA","Beck, Tyler J.; Gawlik, Dale E.; Pearlstine, Elise V.",WILSON JOURNAL OF ORNITHOLOGY,2013,125,2,329,341,10.1676/12-153.1,4
Breaking dormancy during flood and drought: sublethal growth and physiological responses of three emergent wetland herbs used in bioretention basins,"Sigmon, Lora; Hoopes, Sarah; Booker, Morgan; Waters, Catherine; Salpeter, Kara; Touchette, Brant",WETLANDS ECOLOGY AND MANAGEMENT,2013,21,1,45,54,10.1007/s11273-012-9278-y,4
Temporal analysis of stormwater control measure effluent based on windows of harmful algal bloom (HAB) sensitivity: Are annual nutrient EMCs appropriate during HAB-sensitive seasons?,"Hathaway, Jon M.; Moore, Trisha L. C.; Burkholder, JoAnn M.; Hunt, William F.",ECOLOGICAL ENGINEERING,2012,49,,41,47,10.1016/j.ecoleng.2012.08.014,4
Factors affecting mosquito populations in created wetlands in urban landscapes,"Yadav, Priyanka; Foster, Woodbridge A.; Mitsch, William J.; Grewal, Parwinder S.",URBAN ECOSYSTEMS,2012,15,2,499,511,10.1007/s11252-012-0230-y,4
"Basin-scale groundwater response to precipitation variation and anthropogenic pumping in Chih-Ben watershed, Taiwan","Hsu, Kuo-Chin; Yeh, Hsin-Fu; Chen, You-Cheng; Lee, Cheng-Haw; Wang, Chung-Ho; Chiu, Feng-Sheng",HYDROGEOLOGY JOURNAL,2012,20,3,499,517,10.1007/s10040-012-0835-5,4
Interspecies variation in the susceptibility of adult Pacific salmon to toxic urban stormwater runoff,"McIntyre, Jenifer K.; Lundin, Jessica I.; Cameron, James R.; Chow, Michelle I.; Davis, Jay W.; Incardona, John P.; Scholz, Nathaniel L.",ENVIRONMENTAL POLLUTION,2018,238,,196,203,10.1016/j.envpol.2018.03.012,3
Engineered and Environmental Controls of Microbial Denitrification in Established Bioretention Cells,"Waller, Lucas J.; Evanylo, Gregory K.; Krometis, Leigh-Anne H.; Strickland, Michael S.; Wynn-Thompson, Theresa; Badgley, Brian D.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2018,52,9,5358,5366,10.1021/acs.est.7b06704,3
"Impacts of Land-Use and Land-Cover Changes on Water Yield: A Case Study in Jing-Jin-Ji, China","Li, Suxiao; Yang, Hong; Lacayo, Martin; Liu, Junguo; Lei, Guangchun",SUSTAINABILITY,2018,10,4,,,10.3390/su10040960,3
An integrated approach to place Green Infrastructure strategies in marginalized communities and evaluate stormwater mitigation,"Garcia-Cuerva, Laura; Berglund, Emily Zechman; Rivers, Louie, III",JOURNAL OF HYDROLOGY,2018,559,,648,660,10.1016/j.jhydrol.2018.02.066,3
Coastal stormwater wet pond sediment nitrogen dynamics,"Gold, A. C.; Thompson, S. P.; Piehler, M. F.",SCIENCE OF THE TOTAL ENVIRONMENT,2017,609,,672,681,10.1016/j.scitotenv.2017.07.213,3
"Assessment of water retention function as tool to improve integrated watershed management (case study of Poprad river basin, Slovakia)","Satalova, Barbora; Kenderessy, Pavol",SCIENCE OF THE TOTAL ENVIRONMENT,2017,599,,1082,1089,10.1016/j.scitotenv.2017.04.227,3
"Stormwater wetlands for the enhancement of environmental ecosystem services: case studies for two retrofit wetlands in Brisbane, Australia","Greenway, Margaret",JOURNAL OF CLEANER PRODUCTION,2017,163,,S91,S100,10.1016/j.jclepro.2015.12.081,3
Treatment performance and macrophytes growth in a restored hybrid constructed wetland for municipal wastewater treatment,"Barco, Alberto; Borin, Maurizio",ECOLOGICAL ENGINEERING,2017,107,,160,171,10.1016/j.ecoleng.2017.07.004,3
"Response of deep groundwater to land use change in desert basins of the Trans-Pecos region, Texas, USA: Effects on infiltration, recharge, and nitrogen fluxes","Robertson, Wendy Marie; Bohlke, J. K.; Sharp, John M., Jr.",HYDROLOGICAL PROCESSES,2017,31,13,2349,2364,10.1002/hyp.11178,3
USING FLOATING WETLAND TREATMENT SYSTEMS TO REDUCE STORMWATER POLLUTION FROM URBAN DEVELOPMENTS,"Schwammberger, Peter; Walker, Chris; Lucke, Terry",INTERNATIONAL JOURNAL OF GEOMATE,2017,12,31,45,50,10.21660/2017.31.6532,3
Afforestation restoration of saline-sodic soil in the Central Anatolian Region of Turkey using gypsum and sulfur,"Yildiz, Oktay; Altundag, Ernaz; Cetin, Bilal; Guner, S. Teoman; Sarginci, Murat; Toprak, Bulent",SILVA FENNICA,2017,51,1B,,,10.14214/sf.1579,3
The effects of check dams and other erosion control structures on the restoration of Andean bofedal ecosystems,"Hartman, Brett D.; Bookhagen, Bodo; Chadwick, Oliver A.",RESTORATION ECOLOGY,2016,24,6,761,772,10.1111/rec.12402,3
Empirical assessment of effects of urbanization on event flow hydrology in watersheds of Canada's Great Lakes-St Lawrence basin,"Trudeau, M. P.; Richardson, Murray",JOURNAL OF HYDROLOGY,2016,541,,1456,1474,10.1016/j.jhydrol.2016.08.051,3
Large body size for metamorphic wood frogs in urban stormwater wetlands,"Scheffers, Brett R.; Paszkowski, Cynthia A.",URBAN ECOSYSTEMS,2016,19,1,347,359,10.1007/s11252-015-0495-z,3
Microlayer enrichment in natural treatment systems: linking the surface microlayer to urban water quality,"Rippy, Megan A.; Weiden, Laura M.; Cooper, William J.; Deletic, Ana; Grant, Stanley B.",WILEY INTERDISCIPLINARY REVIEWS-WATER,2016,3,2,269,281,10.1002/wat2.1128,3
Greywater reuse through a bioretention system prototype in the arid region,"Chowdhury, Rezaul K.",WATER SCIENCE AND TECHNOLOGY,2015,72,12,2201,2211,10.2166/wst.2015.442,3
Urbanization effects on spatial-temporal differentiation of tree communities in high-density residential areas,"Jim, C. Y.; Zhang, Hao",URBAN ECOSYSTEMS,2015,18,4,1081,1101,10.1007/s11252-015-0455-7,3
Anchor Chaining's Influence on Soil Hydrology and Seeding Success in Burned Pinon-Juniper Woodlands,"Madsen, M. D.; Zvirzdin, D. L.; Petersen, S. L.; Hopkins, B. G.; Roundy, B. A.",RANGELAND ECOLOGY & MANAGEMENT,2015,68,3,231,240,10.1016/j.rama.2015.03.010,3
THERMAL POLLUTION MITIGATION IN COLD WATER STREAM WATERSHEDS USING BIORETENTION,"Long, Daniel L.; Dymond, Randel L.",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,2014,50,4,977,987,10.1111/jawr.12152,3
Biota and hydrology influence soil stability in constructed wetlands,"Prellwitz, Stephanie G.; Thompson, Anita M.",ECOLOGICAL ENGINEERING,2014,64,,360,366,10.1016/j.ecoleng.2014.01.010,3
Design of Outlet Control Structures for Ecological Detention Ponds,"Mobley, John T.; Culver, Teresa B.",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,2014,140,2,250,257,10.1061/(ASCE)WR.1943-5452.0000266,3
Mobilization of aluminum by the acid percolates within unsaturated zone of sandstones,"Navratil, Tomas; Varilova, Zuzana; Rohovec, Jan",ENVIRONMENTAL MONITORING AND ASSESSMENT,2013,185,9,7115,7131,10.1007/s10661-013-3088-4,3
Influences on the establishment and dominance of vegetation in stormwater infiltration basins,"Bedell, J-P; Mourier, B.; Provot, J.; Winiarski, T.",WATER SCIENCE AND TECHNOLOGY,2013,68,12,2576,2583,10.2166/wst.2013.526,3
Bioretention Column Study of Bacteria Community Response to Salt-Enriched Artificial Stormwater,"Endreny, Theodore; Burke, David J.; Burchhardt, Kathleen M.; Fabian, Mark W.; Kretzer, Annette M.",JOURNAL OF ENVIRONMENTAL QUALITY,2012,41,6,1951,1959,10.2134/jeq2012.0082,3
Predation on Green Frog Eggs (Rana clamitans) by Ostracoda,"Gray, Evan P.; Nunziata, Schyler; Snodgrass, Joel W.; Ownby, David R.; Havel, John E.",COPEIA,2010,,3,452,456,10.1643/CH-09-074,3
Effects of 21st century climate change on seasonal flow regimes and hydrologic extremes over the Midwest and Great Lakes region of the US,"Byun, Kyuhyun; Chiu, Chun-Mei; Hamlet, Alan F.",SCIENCE OF THE TOTAL ENVIRONMENT,2019,650,,1261,1277,10.1016/j.scitotenv.2018.09.063,2
Aquifer recharge with stormwater runoff in urban areas: Influence of vadose zone thickness on nutrient and bacterial transfers from the surface of infiltration basins to groundwater,"Voisin, Jeremy; Cournoyer, Benoit; Vienney, Antonin; Mermillod-Blondin, Florian",SCIENCE OF THE TOTAL ENVIRONMENT,2018,637,,1496,1507,10.1016/j.scitotenv.2018.05.094,2
